ID Ra DEC MUV dMUV z EWLya dEWLya DV dDV fesc dfesc fescA dfescA
MUSE-2502 53.158028 −27.817951 −19.24   0.04 5.6411 51   3 330   20 0.178   0.039 0.136   0.029
MUSE-2873 53.172489 −27.764322 −17.93   0.09 5.0508 98   10 188   40 0.258   0.114 0.197   0.087
MUSE-2964 53.149456 −27.809727 −17.85   0.06 5.0591 68   10 253   45 0.416   0.306 0.318   0.233
MUSE-3090 53.155037 −27.762585 −18.16   0.10 5.1362 28   5 235   46 0.155   0.085 0.118   0.065
MUSE-3093 53.139675 −27.796425 −17.69   0.08 5.0518 85   8 154   35 0.161   0.081 0.123   0.062
MUSE-3203 53.176548 −27.771025 −18.79   0.05 5.8921 184   11 91   43 0.610   0.274 0.465   0.209
MUSE-3238 53.175571 −27.795835 −18.12   0.16 5.6185 158   25 136   41 0.234   0.091 0.179   0.069
MUSE-4405 53.170544 −27.812431 −18.77   0.08 5.8376 55   7 285   49 0.133   0.060 0.102   0.046
MUSE-6231 53.178307 −27.800921 −18.96   0.04 6.3313 66   12 360   49 0.147   0.081 0.112   0.062
MUSE-6294 53.166091 −27.785667 −19.56   0.11 5.4715 38   4 130   10 0.088   0.013 0.067   0.010
MUSE-6462 53.164040 −27.799646 −20.23   0.04 5.4530 23   1 335   16 0.061   0.009 0.046   0.007
MUSE-7125 53.128100 −27.789826 −19.31   0.06 5.0313 12   2 295   62 0.082   0.038 0.063   0.029
MUSE-7205 53.162998 −27.760258 −17.86   0.10 4.9222 58   8 147   138 0.075   0.056 0.057   0.043
MUSE-7225 53.161663 −27.763103 −18.81   0.03 5.5589 63   5 215   23 0.192   0.054 0.147   0.041
MUSE-7319 53.186211 −27.787121 −17.93   0.15 5.1444 68   14 210   60 0.249   0.268 0.190   0.204
MUSE-7337 53.169041 −27.787611 −17.93   0.08 5.4715 47   5 222   111 0.038   0.017 0.029   0.013
MUSE-7605 53.165718 −27.784885 −18.09   0.08 5.4725 230   17 278   83 0.392   0.160 0.299   0.122
MUSE-7922 53.180718 −27.776484 −17.19   0.52 5.3851 109   56 216   40 0.303   0.159 0.231   0.121
MUSE-7934 53.146606 −27.786125 −19.77   0.03 5.5270 16   1 133   55 0.111   0.048 0.085   0.037
MUSE-7984 53.179279 −27.773256 −18.88   0.03 6.1071 42   7 232   26 0.090   0.031 0.069   0.024
MUSE-8124 53.156754 −27.809155 −19.54   0.04 5.5887 50   3 100   45 0.503   0.241 0.384   0.184
DEIMOS-43_7167 189.085312 62.212612 −19.66   0.08 4.9196 92   7 238   54 0.232   0.045 0.177   0.034
DEIMOS-42_11827 189.143036 62.166759 −18.49   0.18 4.9265 190   32 250   64 0.170   0.045 0.130   0.034
DEIMOS-23_31399 189.362015 62.249187 −19.60   0.10 5.0503 32   4 429   63 0.228   0.127 0.174   0.097
DEIMOS-25458..0 189.272995 62.267040 −18.43   0.23 5.2012 212   46 160   52 0.378   0.094 0.289   0.071
DEIMOS-25824..0 189.301392 62.268780 −20.69   0.06 5.2393 10   2 725   56 0.149   0.052 0.114   0.040
DEIMOS-11505..0 189.265076 62.199612 −18.77   0.10 5.2260 203   22 233   75 0.364   0.226 0.277   0.172
DEIMOS-19842..0 189.363861 62.239918 −19.32   0.09 5.2611 28   9 385   55 0.135   0.058 0.103   0.044
DEIMOS-43_13063 189.156342 62.210011 −19.92   0.05 5.1895 12   3 351   49 0.052   0.015 0.040   0.012
DEIMOS-33_19970 189.230789 62.263546 −19.56   0.05 5.1950 19   4 169   54 0.055   0.015 0.042   0.012
DEIMOS-42_9127 189.110382 62.202064 −19.70   0.10 5.2022 16   2 297   56 0.040   0.009 0.031   0.007
DEIMOS-33_20014 189.231232 62.259106 −20.14   0.06 5.1937 82   5 242   49 0.078   0.004 0.060   0.003
DEIMOS-33_17440 189.205124 62.260712 −21.05   0.03 5.1947 56   1 237   49 0.229   0.016 0.175   0.012
DEIMOS-vdrop_225 189.183884 62.179928 −18.70   0.08 5.2378 148   16 286   56 0.932   0.482 0.712   0.368
DEIMOS-vdrop_375 189.285294 62.251411 −19.40   0.08 5.2834 75   6 408   49 0.253   0.045 0.193   0.034
DEIMOS-33_17034 189.200592 62.259441 −20.02   0.05 5.6068 116   7 232   47 0.354   0.051 0.270   0.039
DEIMOS-42_11693 189.141540 62.190292 −19.84   0.30 5.6129 106   29 342   46 0.162   0.015 0.124   0.012
DEIMOS-vdrop_167 189.142960 62.196960 −19.13   0.60 5.6149 82   46 210   48 1.097   0.488 0.837   0.373
DEIMOS-33_17705 189.208191 62.232136 −19.63   0.05 5.8061 38   3 589   83 0.092   0.033 0.070   0.025
DEIMOS-32_16773 189.197845 62.199963 −19.11   0.06 5.9752 53   4 242   48 0.103   0.032 0.078   0.024
